country,aidv
Canada,11.5
Japan,11.5
South Korea,11.5
Colombia,10.5
Belgium,10
Germany,10
Italy,10
Portugal,10
Switzerland,10
United Kingdom,10
Argentina,9.5
Austria,9.5
Netherlands,9.5
Slovenia,9.5
Spain,9.5
Australia,9
Brazil,9
Denmark,9
Estonia,9
France,9
Ireland,9
Lithuania,9
Norway,9
Poland,9
Uruguay,9
Chile,8.5
Costa Rica,8.5
Finland,8.5
Hungary,8.5
Kenya,8.5
Luxembourg,8.5
New Zealand,8.5
Sweden,8.5
Czechia,8
Indonesia,8
Israel,8
Malta,8
Mexico,8
South Africa,8
Philippines,7.5
Saudi Arabia,7.5
Turkey,7.5
Hong Kong,7
India,7
Jamaica,7
Mauritius,7
Peru,7
United States of America,7
China,6.5
Singapore,6.5
United Arab Emirates,6.5
Malaysia,6
Rwanda,6
Egypt,5.5
Nigeria,5.5
Russia,5.5
Taiwan,5.5
Dominican Republic,5
Ghana,5
Tunisia,5
Uganda,5
Bangladesh,4.5
Pakistan,4.5
Qatar,4.5
Trinidad and Tobago,4.5
Thailand,4
Puerto Rico,3.5
Vietnam,3.5
Bahrain,3
Iran,3
Kazakhstan,3
Kuwait,2.5
Azerbaijan,2
Myanmar,2
Venezuela,2
