country,aigs
Algeria,3.32
Argentina,7.87
Armenia,4.94
Australia,9.18
Bahrain,1.72
Bangladesh,4.36
Bolivia,6.27
Botswana,7.33
Brazil,7.3
Myanmar,4.18
Canada,9.18
Chile,8.63
China,1.77
Colombia,6.73
Czech Republic,8.34
Denmark,9.27
Ecuador,6.43
Egypt,2.56
France,8.43
Georgia,6.19
Germany,8.82
Ghana,7.14
Hong Kong,5.14
India,6.6
Indonesia,6.63
Iran,3.57
Iraq,3.36
Israel,5.99
Italy,8.45
CIV,5.25
Japan,8.56
Kazakhstan,3.01
Kenya,3.93
Kyrgyzstan,4.61
Lao,2.46
Lebanon,3.62
Malaysia,5.67
Malta,8.25
Mauritius,8.46
Mexico,5.93
Mongolia,6.18
Morocco,5.49
Namibia,6.88
Netherlands,9.13
New Zealand,9.26
Nigeria,4.47
Oman,2.41
Pakistan,4.44
Panama,7.78
Philippines,6.02
Qatar,2.21
Romania,6.95
Russia,2.6
Rwanda,2.75
Saudi Arabia,0.97
Serbia,5.68
Singapore,5.15
South Africa,7.44
South Korea,8.32
Spain,8.56
Switzerland,9.15
Taiwan,8.35
Tajikistan,1.52
Thailand,3.08
Turkey,3.65
Uganda,4.18
Ukraine,5.26
United Arab Emirates,1.87
United Kingdom,8.86
United States,8.3
Uruguay,9.01
Uzbekistan,1.65
Venezuela,2.49
Zambia,4.83
Zimbabwe,3.18
