country,cri
Norway,0.876582324
Germany,0.873075931
Australia,0.863903026
Belgium,0.844698666
Canada,0.837796407
Japan,0.835268715
Denmark,0.835086224
New Zealand,0.821670752
Slovenia,0.814316385
Finland,0.80996222
Czechia,0.801226687
France,0.80024839
Luxembourg,0.789681671
United Kingdom,0.782342157
Iceland,0.782217142
Estonia,0.78098135
Ireland,0.780933298
Israel,0.780761743
Austria,0.778277522
Sweden,0.777787623
Poland,0.770918508
Croatia,0.764270054
Portugal,0.759482396
South Korea,0.743255704
Slovakia,0.742252191
Belarus,0.737307451
South Africa,0.734707756
United States,0.732290082
Italy,0.729346841
Netherlands,0.728272729
Switzerland,0.716025318
Argentina,0.710477178
Latvia,0.708740198
Ukraine,0.708027732
Lithuania,0.698041066
Russian Federation,0.691521381
Malta,0.680363754
Chile,0.675416532
Spain,0.675124371
Maldives,0.672780645
Kiribati,0.66825408
Hungary,0.645560409
Seychelles,0.64482488
Kyrgyz Republic,0.642666515
Greece,0.640519777
Mongolia,0.628863621
Tajikistan,0.627740175
Namibia,0.627139822
Tunisia,0.621718071
China,0.611781162
Kazakhstan,0.611155633
Costa Rica,0.608658496
Cyprus,0.607592855
Jordan,0.607342698
Mauritius,0.600602439
Romania,0.5970548
Lesotho,0.592648514
Uruguay,0.588447969
El Salvador,0.588152129
Belize,0.585570823
Uzbekistan,0.582649928
Bulgaria,0.581065193
Moldova,0.573200246
Tuvalu,0.572687006
Azerbaijan,0.569003015
Mexico,0.565540376
Barbados,0.563941456
Cabo Verde,0.561905668
Guyana,0.560002807
Thailand,0.555585833
Bolivia,0.553781798
Georgia,0.552281309
Botswana,0.55216624
Turkey,0.549635724
Ecuador,0.549577823
Albania,0.54597319
Brazil,0.543985032
Armenia,0.542710662
Singapore,0.53745042
Samoa,0.535850449
Saint Vincent and the Grenadines,0.533772092
Antigua and Barbuda,0.530467186
Algeria,0.527254637
Paraguay,0.521407391
Malaysia,0.51978007
"Hong Kong",0.51823736
"Egypt",0.51453777
Saint Lucia,0.50802667
Trinidad and Tobago,0.504581823
Serbia,0.499239376
Morocco,0.494174075
Vietnam,0.493865114
Kenya,0.492524676
Cambodia,0.489362187
Peru,0.487327477
Fiji,0.484685586
Honduras,0.482966276
Palestine,0.479303616
Jamaica,0.475159249
Myanmar,0.466829157
Indonesia,0.462463009
Philippines,0.455544037
North Macedonia,0.454054164
Iran,0.450964099
Guatemala,0.449324968
"Bahamas",0.439106717
Bangladesh,0.434815727
Solomon Islands,0.433489332
Zambia,0.430403571
Djibouti,0.43023988
Sri Lanka,0.429772239
Nepal,0.427850838
Dominican Republic,0.426771908
Sao Tome and Principe,0.424773054
Timor-Leste,0.423227132
Bhutan,0.420952574
Senegal,0.418622829
Togo,0.410079889
Malawi,0.406699061
Mozambique,0.404878703
Lebanon,0.393097868
Eswatini,0.390575588
India,0.38136489
Panama,0.374893924
Rwanda,0.373970998
Pakistan,0.365368582
"Yemen",0.364420603
Ghana,0.360964874
Mali,0.356038342
Tanzania,0.355873754
Angola,0.353155979
"Gambia",0.349385357
Papua New Guinea,0.345361071
Tonga,0.343609663
Burkina Faso,0.339609433
Mauritania,0.335777548
Bahrain,0.330493336
Afghanistan,0.322521581
Zimbabwe,0.319682771
Vanuatu,0.315966614
Benin,0.315508858
"COD",0.311166702
Lao,0.309231458
Ethiopia,0.309218694
Burundi,0.295484418
"COG",0.292878543
Oman,0.289112549
Cameroon,0.285328682
Niger,0.280440045
Chad,0.275976004
Guinea-Bissau,0.268903196
Uganda,0.268410533
Sierra Leone,0.261966164
Central African Republic,0.261610984
Cote d'Ivoire,0.258848617
Madagascar,0.252404755
Guinea,0.24790007
Haiti,0.246498136
Nigeria,0.193608222
Liberia,0.193311825
South Sudan,0.058766972
