country,di
Norway,9.81
Iceland,9.37
Sweden,9.26
New Zealand,9.25
Canada,9.24
Finland,9.2
Denmark,9.15
Ireland,9.05
Australia,8.96
Netherlands,8.96
Taiwan,8.94
Switzerland,8.83
Luxembourg,8.68
Germany,8.67
Uruguay,8.61
United Kingdom,8.54
Chile,8.28
Austria,8.16
Costa Rica,8.16
Mauritius,8.14
Japan,8.13
Spain,8.12
South Korea,8.01
France,7.99
United States of America,7.92
Portugal,7.9
Estonia,7.84
Israel,7.84
Italy,7.74
Malta,7.68
Czech Republic,7.67
Cabo Verde,7.65
Botswana,7.62
Cyprus,7.56
Slovenia,7.54
Belgium,7.51
Greece,7.39
Latvia,7.24
Malaysia,7.19
Panama,7.18
Trinidad and Tobago,7.16
Jamaica,7.13
Lithuania,7.13
Timor-Leste,7.06
South Africa,7.05
Colombia,7.04
Slovakia,6.97
Argentina,6.95
Brazil,6.92
Poland,6.85
Suriname,6.82
Bulgaria,6.71
India,6.61
Tunisia,6.59
Philippines,6.56
Hungary,6.56
Peru,6.53
Namibia,6.52
Croatia,6.5
Ghana,6.5
Mongolia,6.48
Romania,6.4
Dominican Republic,6.32
Lesotho,6.3
Indonesia,6.3
Serbia,6.22
Paraguay,6.18
Sri Lanka,6.14
Ecuador,6.13
Papua New Guinea,6.1
Albania,6.08
Mexico,6.07
Thailand,6.04
Singapore,6.03
Guyana,6.01
Bangladesh,5.99
El Salvador,5.9
North Macedonia,5.89
Ukraine,5.81
Moldova,5.78
Montenegro,5.77
Malawi,5.74
Fiji,5.72
Bhutan,5.71
Madagascar,5.7
Senegal,5.67
Hong Kong,5.57
Honduras,5.36
Armenia,5.35
Liberia,5.32
Georgia,5.31
Nepal,5.22
Tanzania,5.1
Bolivia,5.08
Kenya,5.05
Morocco,5.04
Guatemala,4.97
Uganda,4.94
Zambia,4.86
Sierra Leone,4.86
Bosnia and Herzegovina,4.84
Benin,4.58
Gambia,4.49
Turkey,4.48
Pakistan,4.31
Haiti,4.22
Kyrgyz Republic,4.21
Lebanon,4.16
Cote d'Ivoire,4.11
Nigeria,4.1
Mali,3.93
Mauritania,3.92
Palestine,3.83
Kuwait,3.8
Algeria,3.77
Burkina Faso,3.73
Angola,3.66
Iraq,3.62
Jordan,3.62
Nicaragua,3.6
Gabon,3.54
Mozambique,3.51
Ethiopia,3.38
Russia,3.31
Niger,3.29
Qatar,3.24
Zimbabwe,3.16
Kazakhstan,3.14
COG,3.11
Cambodia,3.1
Rwanda,3.1
Comoros,3.09
eSwatini,3.08
Guinea,3.08
Myanmar,3.04
Oman,3
Vietnam,2.94
Egypt,2.93
Afghanistan,2.85
Cuba,2.84
Togo,2.8
Cameroon,2.77
Venezuela,2.76
Djibouti,2.71
United Arab Emirates,2.7
Azerbaijan,2.68
Guinea-Bissau,2.63
Belarus,2.59
Sudan,2.54
Bahrain,2.49
China,2.27
Iran,2.2
Eritrea,2.15
Burundi,2.14
Uzbekistan,2.12
Saudi Arabia,2.08
Libya,1.95
Yemen,1.95
Tajikistan,1.94
Equatorial Guinea,1.92
Lao,1.77
Turkmenistan,1.72
Chad,1.55
Syria,1.43
Central African Republic,1.32
COD,1.13
North Korea,1.08
