country,odi
Taiwan,90
Australia,79
Great Britain,79
France,70
Finland,69
Canada,69
Norway,69
Brazil,68
New Zealand,68
Northern Ireland,67
United States,65
Denmark,65
Mexico,65
Colombia,64
Latvia,64
Japan,61
Argentina,60
Singapore,60
Uruguay,55
Netherlands,54
Sweden,53
Belgium,52
Chile,52
Germany,51
Hong Kong,51
Romania,51
Czech Republic,50
Poland,49
Austria,49
Slovenia,49
Ukraine,48
India,47
Italy,47
Slovakia,47
Greece,46
Bulgaria,45
Paraguay,44
Puerto Rico,43
Russia,43
Isle of Man,43
Serbia,41
Israel,41
South Africa,40
Croatia,39
Portugal,37
Turkey,37
Albania,36
Switzerland,36
El Salvador,35
Montenegro,35
Thailand,34
Macedonia,31
Bolivia,30
Philippines,30
Peru,29
Guatemala,28
Dominican Republic,27
Bosnia and Herzegovina,26
Kosovo,26
Jamaica,26
Indonesia,25
Panama,25
Bangladesh,25
Costa Rica,23
Bhutan,23
Tunisia,22
Iran,21
Trinidad and Tobago,21
Nepal,20
Tanzania,20
Guyana,20
Pakistan,19
Zambia,19
Cambodia,17
The Bahamas,17
Lesotho,16
Ghana,16
Namibia,15
Saint Lucia,15
Kenya,15
Oman,14
Venezuela,14
Zimbabwe,13
Mozambique,12
Afghanistan,12
Cameroon,11
Malaysia,10
Botswana,9
Saint Vincent and the Grenadines,7
Antigua and Barbuda,5
Malawi,5
Barbados,4
Saint Kitts and Nevis,4
Myanmar,1
